rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,contact_force,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,0.008557300083339214,4.761457400396466,,,,,,,,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
,,,,,,,,,,,,,,,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
0,0,0,0,2024-11-18_17:25:01.111920,,,,5.278623499907553,7.279399200342596,None,None,29.6,0.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
1,0,1,0,2024-11-18_17:25:03.575814,,,,7.746375599876046,9.284860700368881,None,None,30.0,0.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
2,0,2,0,2024-11-18_17:25:05.580528,,,,9.751019700430334,11.283009400591254,None,None,30.3,0.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
3,0,3,0,2024-11-18_17:25:07.577930,,,,11.748583099804819,13.281555199995637,None,None,30.6,0.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
4,0,4,0,2024-11-18_17:25:09.580819,,,,13.747977199964225,15.283810299821198,1.0,None,30.700000000000003,0.0,1.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
5,0,5,0,2024-11-18_17:25:11.579289,,,,15.749774499796331,17.282183900475502,None,None,30.8,0.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
6,0,6,0,2024-11-18_17:25:13.577043,,,,17.747162699699402,19.2823686003685,41.0,None,30.8,0.1,41.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
7,0,7,0,2024-11-18_17:25:15.577822,,,,19.748326799832284,21.279892900027335,None,None,30.6,0.1,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
8,0,8,0,2024-11-18_17:25:17.585915,,,,21.744229500181973,23.279667200520635,73.0,None,30.5,0.1,73.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
9,0,9,0,2024-11-18_17:25:19.574159,,,,23.74511730019003,25.28040250018239,None,None,30.3,0.1,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
10,0,10,0,2024-11-18_17:25:21.599371,,,,25.746823799796402,27.2817539004609,63.0,None,30.1,0.1,63.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
11,0,11,0,2024-11-18_17:25:23.575267,,,,27.746447100304067,29.283568300306797,None,None,30.0,0.1,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
12,0,12,0,2024-11-18_17:25:25.581403,,,,29.748868600465357,31.280621400102973,None,None,29.900000000000002,0.1,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
13,0,13,0,2024-11-18_17:25:27.575849,,,,31.745815000496805,33.28015909995884,None,None,29.8,0.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
14,0,14,0,2024-11-18_17:25:29.582237,,,,33.74650220014155,35.28147609997541,None,None,29.8,0.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
15,0,15,0,2024-11-18_17:25:31.580370,,,,35.74684809986502,37.28055900055915,None,None,29.900000000000002,0.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
16,0,16,0,2024-11-18_17:25:33.577225,,,,37.745353899896145,39.280121999792755,None,None,29.900000000000002,36.8,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
17,0,17,0,2024-11-18_17:25:35.597004,,,,39.74469800014049,41.27715270034969,None,None,30.1,38.9,0.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
18,0,18,0,2024-11-18_17:25:37.576577,,,,41.74297200050205,43.28158020041883,0.0,None,30.3,3.7,0.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
19,0,19,0,2024-11-18_17:25:39.575578,,,,43.746931300498545,45.28224270045757,None,None,30.5,0.7,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
20,0,20,0,2024-11-18_17:25:41.575994,,,,45.74780820030719,47.28013909980655,None,None,30.700000000000003,0.7,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
21,0,21,0,2024-11-18_17:25:43.575485,,,,47.744413199834526,49.27980590052903,None,None,31.0,0.7,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
22,0,22,0,2024-11-18_17:25:45.578196,,,,49.74563719984144,51.28145849984139,None,None,31.200000000000003,0.6,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
23,0,23,0,2024-11-18_17:25:47.576523,,,,51.74723650049418,53.28019220009446,None,None,31.5,0.7,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
24,0,24,0,2024-11-18_17:25:49.575545,,,,53.745545600540936,55.27969500049949,None,None,31.700000000000003,0.6,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
