rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,contact_force,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,0.006495200097560883,2.206788600422442,,,,,,,,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
,,,,,,,,,,,,,,,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
0,0,0,0,2024-11-18_17:35:53.247405,,,,2.724734600633383,4.730609800666571,None,None,39.5,0.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
1,0,1,0,2024-11-18_17:35:55.718023,,,,5.19692310038954,6.730168499983847,None,None,39.2,0.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
2,0,2,0,2024-11-18_17:35:57.715369,,,,7.196741000749171,8.72936060000211,None,None,38.900000000000006,0.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
3,0,3,0,2024-11-18_17:35:59.713503,,,,9.194696200080216,10.728070900775492,None,None,38.7,0.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
4,0,4,0,2024-11-18_17:36:01.711385,,,,11.192722800187767,12.72911259997636,None,None,38.6,0.1,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
5,0,5,0,2024-11-18_17:36:03.718765,,,,13.194323300383985,14.729846199974418,None,None,38.6,0.1,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
6,0,6,0,2024-11-18_17:36:05.714933,,,,15.196321700699627,16.72975580021739,None,None,38.7,0.1,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
7,0,7,0,2024-11-18_17:36:07.716323,,,,17.19665060006082,18.7299188002944,None,None,38.800000000000004,0.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
8,0,8,0,2024-11-18_17:36:09.716928,,,,19.1951048001647,20.729751400649548,None,None,39.0,0.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
9,0,9,0,2024-11-18_17:36:11.715886,,,,21.19569930061698,22.728477300144732,None,None,39.1,0.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
10,0,10,0,2024-11-18_17:36:13.715104,,,,23.194096500054002,24.727996500208974,None,None,39.2,6.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
11,0,11,0,2024-11-18_17:36:15.711886,,,,25.193082000128925,26.726026000455022,None,None,39.300000000000004,8.8,61.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
12,0,12,0,2024-11-18_17:36:17.719730,,,,27.19169900007546,28.726831800304353,None,None,39.300000000000004,6.2,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
13,0,13,0,2024-11-18_17:36:19.713517,,,,29.192429900169373,30.72460540011525,None,None,39.300000000000004,11.4,49.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
14,0,14,0,2024-11-18_17:36:21.709562,,,,31.190272300504148,32.72584570012987,None,None,39.2,8.5,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
15,0,15,0,2024-11-18_17:36:23.711444,,,,33.19179419986904,34.724887900054455,96.0,None,39.1,7.5,96.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
16,0,16,0,2024-11-18_17:36:25.712484,,,,35.19126180000603,36.729331499896944,None,None,38.900000000000006,7.5,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
17,0,17,0,2024-11-18_17:36:27.720317,,,,37.19636310078204,38.727133200503886,None,None,38.800000000000004,0.5,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
